English;adcovtle;Notes (adcovtle);Data Comprehension (adcovtle);Part of Speech (adcovtle);Difficulty (adcovtle);we;Notes (we);Data Comprehension (we);Avamants Logetavys;Notes (Avamants Logetavys);Data Comprehension (Avamants Logetavys);Šelva Enkan;Notes (Šelva Enkan);Data Comprehension (Šelva Enkan);Wàmèrìʒá;Notes (Wàmèrìʒá);Data Comprehension (Wàmèrìʒá);Quərfi;Notes (Quərfi);Data Comprehension (Quərfi);Proto-Kwerfia;Notes (Proto-Kwerfia);Data Comprehension (Proto-Kwerfia);Senta Grèstilsa;Notes (Senta Grèstilsa);Data Comprehension (Senta Grèstilsa);Mēeu Gēo;Notes (Mēeu Gēo);Data Comprehension (Mēeu Gēo);Ongrèstilsa;Notes (Ongrèstilsa);Data Comprehension (Ongrèstilsa);Qsek'a;Notes (Qsek'a);Data Comprehension (Qsek'a);B´andve;Notes (B´andve);Data Comprehension (B´andve);Opetfi;Notes (Opetfi);Data Comprehension (Opetfi);Cjëmta;Notes (Cjëmta);Data Comprehension (Cjëmta);Fashiikéfa;Notes (Fashiikéfa);Data Comprehension (Fashiikéfa);peküzhí Nakiwá;Notes (peküzhí Nakiwá);Data Comprehension (peküzhí Nakiwá);Łok'aqe;Notes (Łok'aqe);Data Comprehension (Łok'aqe);Q'ucnaimxk'uł7;Notes (Q'ucnaimxk'uł7);Data Comprehension (Q'ucnaimxk'uł7);Dreeenuce;Notes (Dreeenuce);Data Comprehension (Dreeenuce);Wilakana;Notes (Wilakana);Data Comprehension (Wilakana);Çalbaça;Notes (Çalbaça);Data Comprehension (Çalbaça);Ligu magyk;Notes (Ligu magyk);Data Comprehension (Ligu magyk);Proto-North-Ovøta;Notes (Proto-North-Ovøta);Data Comprehension (Proto-North-Ovøta);çymtoçamao - 5000 BC;Notes (çymtoçamao - 5000 BC);Data Comprehension (çymtoçamao - 5000 BC);çyntoçana - 2000 BC;Notes (çyntoçana - 2000 BC);Data Comprehension (çyntoçana - 2000 BC);Proto-Çuço;Notes (Proto-Çuço);Data Comprehension (Proto-Çuço);Çúaço aʃoevújaço;Notes (Çúaço aʃoevújaço);Data Comprehension (Çúaço aʃoevújaço);Español;Français;last column (leave blank and insert to left)
;na;negative voice construction;na;plavestafras;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
name;nað;;nað;noun;;;;;;;;vatyu;;vatyu;çélàmèdé;inanimate, -;çelamede;xramt;inanimate, -;xramt;xramte ;inanimate;xramte ;kèx;;kèx;keu;;keu;kéx;;kéx;;;;;;;;;;gjëpy;;gjëpy;nebbé;solar or lunar, depending on the person in question;nebbé;ka ömísu;go yazhiká;ka ömisu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dry;nata;;nata;adjective;;;;;;;;;;;péʒálà;;peʒala;pəʒal;;pəʒal;peʃala;;peʃala;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ne-;opposite / negative prefix;ne-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;he-;shop that sells-;he-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
no;nobod;;nobod;interjection;;;;;;;;;;;;;;;;;;;;kas;;kas;kāe;;kāe;kase;;kase;;;;;;;;;;;;;;;;newá;irregular verb;newa;;;;;;;;;;;;;;;;;;;;;;mu;;mu;mu;;mu;;;;;;;;;
organised group;ñome;;ñome;noun;;;;;;;;;;;kólòzódò;;kolozodo;groi;;groi;grosto;;grosto;šaxme;;šaxme;;;;šaxme;;šaxme;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
noun;nonuatle;;nonuatle;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nine;nuðat;;nuðat;number;;vnuva;;vnuva;bvnuvad;;bvnuvad;;;;sèrà kólòò;;sera koloo;;;;zera gros;;zera gros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
number;nuñe;;nuñe;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
object;objecto;;objecto;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
okay;oce;;oce;interjection;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
to eat;ofe;;ofe;verb;;to;imperfect -ebe;to;topfə;;topfə;dyilti;short;dyilti;;;;;;;;;;brox;;brox;boge;;boge;broge;;broge;;;;;;;;;;;;;;;;;;;;;;;;;;;;wepalu;;wepalu;;;;;;;çølakval;;çølakval;;;;;;;;;;;;;;;
one;on;;on;number;;ose;;ose;õsd;;õsd;;;;pà;;pa;;;;ba;;ba;;;;;;;;;;;;;;;;;;;;;;zesh;;zesh;posú;;posu;;;;;;;;;;;;;besa;;besa;;;;tsa;;tsa;nu;;nu;nu;;nu;biki;;biki;vújaʃu;;vújaʃu;;;
ten;on sba;;on sba;number;;;;;;;;;;;kèlàgélèè;;kelagelee;;;;gragros;;gragros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
on;ot;;ot;preposition;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;shi;;ši;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
to be;ote;irregular: conjugated as od in absolute;ote;verb;0;;;;;;;tyin;;tyin;;;;;;;;;;penin;;penin;bēi;;bēi;benin;;benin;;;;;;;pin;;pin;;;;;;;ogó;irregular;ogo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ser;être;
long;pava;;pava;adjective;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sjymga ;;sjymga ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
house;paza;;paza;noun;;pa;oblique, dative -e;pa;pazæ;;pazæ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;pätegjë;;pätegjë;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
food;pisa;;pisa;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;abaezu;;abaezu;;;;;;;;;;;;;;;
;plavestafras;word that begins sentences, ex: are, po, so, iz, na;plavestafras;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
word;plavet;;plavet;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
place;plimo;;plimo;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;si somóne;go yazhiká;si somone;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;po;definitive voice construction, optional;po;plavestafras;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
seven;post;;post;number;;;;;posəd;;posəd;;;;kèlà kólòò;;kela koloo;;;;gra gros;;gra gros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
point;put;;put;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
road;raco;;raco;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rapidly;rapi;;rapi;adverb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;lapalezi;;lapalezi;;;;;;;;;;;;;;;;;;;;;;;;
we;ri;;ri;pronoun;;;;;;;;;;;tó;;to;;;;to;;to;;;;;;;;;;;;;t´ol;;t´ol;;;;;;;;;;tu öwá;;tu öwa;;;;;;;;;;;;;;;;;;;domy;;domy;;;;;;;;;;;;;;;
us;ri;;ri;pronoun;;;;;;;;;;;tó;;to;;;;to;;to;;;;;;;;;;;;;t´ol;;t´ol;;;;;;;;;;tu öwá;;tu öwa;;;;;;;;;;;;;;;;;;;domy;;domy;;;;;;;;;;;;;;;
river;rivlé;;rivle;noun;;;;;;;;šoghu;;šoghu;rìwèrè;;riwere;;;;rivre;;rivre;;;;iflo;;iflo;floš;;floš;;;;;;;;;;tämcjegjë;;tämcjegjë;támzhezgö;underwater;támzhezgö;;;;;;;;;;tri;;tri;;;;;;;;;;;;;çuço;;çuço;çyçø;;çyçø;kiʃaçe;;kiʃaçe;ʃuiʒáço;;ʃuiʒáço;;;
;se-;experienced in (noun);se-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
five;seb;;seb;number;;;;;sisbən;;sisbən;;;;kólòò;;koloo;;;;gros;;gros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;semisi;;semisi;soemújasu;;soemújasu;;;
learning;sececlo;(adjective);sececlo;adjective;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
six;siz;;siz;number;;;;;skydzən;;skydzən;;;;pà kólòò;;pa koloo;;;;ba gros;;ba gros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;so;question voice construction;so;plavestafras;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
subject;subjeto;;subjeto;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tea;te;;te;noun;;;;;;;;;;;;;;təʒ;;təʒ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bad;temi;;temi;adjective;;;;;;;;;;;pèpélà;irregular invariant form;pepela;brə;irregular invariant form;brə;bra;irregular invariant form;bra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
steppe;teps;;teps;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
three;tes;;tes;number;;;;;taisə;;taisə;;;;tînà;;tîna;;;;tina;;tina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bœga;;bœga;;;;;;;teʒa;;teʒa;sáʒ;;sáʒ;;;
little;ti-;;ti-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tram;titrena;;titrena;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tower;tor;;tor;noun;;;;;;;;;;;;;;xəmar;inanimate, -;xəmar;ximare;;ximare;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
university;tordo;;tordo;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ki tódo;go numúge;ki todo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
railway station;toron;;toron;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
train station;toron;;toron;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
auditorium;tortes;;tortes;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;tre-;very (adjectives), entire (nouns);tre-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
train;trena;;trena;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;tu;start substatement;tu;preposition;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
to be able to;uedið;;uedið;verb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;umdja;used in questions of «how many»;umdja;pronoun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ut;end substatement;ut;preposition;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
to go;uzeþ;irregular: drops eþ in absolute forms;uzeþ;verb;;;;;;;;;;;;;;;;;;;;falave;;falave;;;;falavat;;falavat;;;;;;;;;;fejuro;irregular;fejuro;;;;bímü;irregular;bimü;;;;;;;;;;dami;"includes the ""to""";dami;;;;;;;;;;;;;;;;kevake;;kevake;ʃoeváʃo;;ʃoeváʃo;;;
you;va;(singular);va;pronoun;;;;;;;;folkhe;prefixed like any noun, depending on gender of speaker;folkhe;tó;;to;tə;;tə;to;;to;;;;;;;;;;;;;t´u;;t´u;;;;;;;;;;tu shósho;;tu šošo;;;;;;;;;;;;;;;;;;;ylme;;ylme;;;;;;;;;;;;;;;
trail;vaðe;;vaðe;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
east;vata;;vata;noun;;;;;;;;;;;kólù;;kolu;;;;gru;;gru;solle;;solle;isōiflo;;isōiflo;solflo;;solflo;;;;;;;;;;;;;;;;kemízu;;kemizu;;;;;;;;;;ge;;ge;;;;;;;;;;çøbi;;çøbi;çøde;;çøde;kevaçe;;kevaçe;ʃoeváço;;ʃoeváço;;;
to the east;vata;;vata;adjective;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
to;ve;;ve;preposition;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cy;;cy;;;;shinó;;šino;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
south;veci;;veci;noun;;;;;;;;;;;à;;a;;;;fa;;fa;mèr;h-verb;mèr;mēeu;;mēeu;méreh;;méreh;;;;;;;;;;;;;;;;özhú;;öžu;;;;;;;mefuuu;;mefuuu;yo;;yo;;;;;;;;;;nøbi;;nøbi;nøde;;nøde;sitaçe;;sitaçe;suizáço;;suizáço;;;
to the south;veci;;veci;adjective;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
west;vegre;;vegre;noun;;;;;;;;;;;lò;;lo;;;;lo;;lo;;;;;;;;;;;;;;;;;;;;;;;;;yashí;;yaši;;;;;;;;;;pa;;pa;;;;;;;;;;cybi;;cybi;cyde;;cyde;akeviçe;;akeviçe;aʃoevújaço;;aʃoevújaço;;;
to the west;vegre;;vegre;adjective;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
north;vewiþ;;vewiþ;noun;;;;;;;;;;;sá;;sa;;;;sa;;sa;naxov;;naxov;naixoi;;naixoi;naxov;;naxov;;;;;;;;;;;;;;;;bísu;;bisu;;;;;;;biisa;;biisa;bi;;bi;;;;;;;;;;mobi;;mobi;mode;;mode;poçuço;;poçuço;poʝúaço;;poʝúaço;;;
to the north;vewiþ;;vewiþ;adjective;;;;;;;;;;;;;;;;;;;;naxov;;naxov;naixoi;;naixoi;naxov;;naxov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
who;vi;(as subject);vi;pronoun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
what ;vi;(as subject);vi;pronoun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ko wíza;;ko wiza;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
apartment;vilt;;vilt;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
flower;vlor;;vlor;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
conversation;vocðe;;vocðe;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vowel;voce;;voce;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mountain;wiþada;;wiþada;noun;;wȳda;dative -de;wȳda;ʍytsædæ;;ʍytsædæ;khodyi;;khodyi;çáádè;;çaade;;;;çakte;;çakte;xov;;xov;ixoivo;;ixoivo;xoves;;xoves;;;;;;;;;;cjàgjë;;cjagjë;tenzga;underground;tenzga;;;;;;;;;;;;;walena;;walena;;;;;;;;;;tibun;;tibun;tidun;;tidun;;;;;;;;;
zero;zeþuz;;zeþuz;number;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
here;þjedo;note: don't ad la- or te- to this noun;þjedo;pronoun;;;;;;;;;;;ʃàhá;inanimate, -;ʃaha;ʒā;inanimate, -;ʒā;ʒaha;inanimate;ʒaha;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
this;þjeðo;;þjeðo;pronoun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
people;þmangte;;þmangte;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;fnamaa;no singular form;fnamaa;;;;;;;;;;;;;çymto;;çymto;çynto;;çynto;;;;;;;;;
bed;jaña;;jaña;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ö kishonáse;go yazhiká;ö kišonase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
chair;sivli;;sivli;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
table;trusi;;trusi;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wardrobe;wanþi;;wanþi;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
closet;wanþi;;wanþi;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
endtable;titrusi;;titrusi;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
question;delañate;;delañate;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
decision;decið;;decið;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
little;tini;;tini;adjective;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;çofemi;;çofemi;çøsene;;çøsene;;;;;;;;;
language;aðmant;;aðmant;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
made;hocabevlat;;hocabevlat;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
to call;anað;;anað;verb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;djaba;;djaba;;;;;;;tonpéshó;;tonpéshó;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
which;viju;;viju;pronoun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
whose;aviad;;aviad;pronoun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;ðobodgi;;ðobodgi;adjective;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;nobodgi;;nobodgi;adjective;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sound;fuli;;fuli;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
noise;fuli;;fuli;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
phoneme;fuljaðmant;;fuljaðmant;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
to build;atedið;;atedið;verb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
constructed;hocatedið;;hocatedið;adjective;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grammar;plavetiñe;;plavetiñe;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
instead;wavtli;;wavtli;adverb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rather;wavtli;;wavtli;adverb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mind;zaða;;zaða;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mental;zaða;(only literal sense);zaða;adjective;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
natural;cleðza;;cleðza;adjective;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
for, as;þo;;þo;preposition;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yo;;yo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fiction;hoczaða;;hoczaða;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dragon;lograði;;lograði;noun;;;;;;;;;;;tóràgà;;toraga;;;;toraga;;toraga;;;;dakaixāa;;dakaixāa;drakaxana;;drakaxana;;;;;;;;;;;;;óskonaa;solar or lunar, depending on the dragon;óskonaa;mi koshimayá;go yazhiká;mi košimaya;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
forest;cleðre;;cleðre;noun;;;;;;;;;;;ʃóròwò;;ʃorowo;;;;ʃorofe;;ʃorofe;for;;for;ifo;;ifo;fort;;fort;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;byreneçe;;byreneçe;byreneça;;byreneça;;;;;;;;;
snow;atawiþ;;atawiþ;noun;;;;;;;;;;;pólòʝáàdè;;poloʝaade;;;;poleçakte;;poleçakte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ønø;;ønø;ønø;;ønø;;;;;;;;;
grand;gli;;gli;adjective;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
great;gli;;gli;adjective;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
large;gli;;gli;adjective;;;;;;;;;;;èhêʝénà;;ehêʝena;hunh;;hunh;ehunça;;ehunça;;;;kaivāo;;kaivāo;kavalo;;kavalo;;;;;;;;;;psa;;psa;;;;gobógi;;gobogi;;;;;;;;;;;;;çalaça;;çalaça;;;;;;;aɲotyri;;aɲotyri;aɲøtyre;;aɲøtyre;;;;;;;;;
